ID,Latitude,Longitude,Nama_warung,Alamat,Halal,Area_merokok,Harga,Tempat_parkir,Masakan,Makanan,Jenis_warung,Makan_ditempat,Rating,Review,Gambar,kriteria
300,-7.7762606,110.3904919,Seafood Hotplate,"Jl. Moses Gatotkaca, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Ada,Mahal,on_street_parking,"Chinese,Indonesia,Asia,Fusion","Seafood,Hot Plate",Quick Bites,Dine-in/Takeaway,3.5,4,AF1QipPiWpUt_NhM5d_cNuQF-1VX5hnytQx9VdMkV_9p=s846-k-no,halal Ada Mahal on_street_parking
301,-7.8005133,110.3435088,Hot Plate Kadipiro,"Jl. Yogyakarta - Wates, Sonosewu, Ngestiharjo, Kec. Kasihan, Bantul",halal,Ada,Menengah,on_street_parking,"Chinese,Indonesia,Asia,Fusion",Hot Plate,"Quick Bites,Street Food",Dine-in/Takeaway,3.3,3,AF1QipMFtqNUNouCw8O7d-17Vib26tfJSBGRNYYMVEmU=s635-k-no,halal Ada Menengah on_street_parking
302,-7.767794,110.3874047,KiSemar Hotplate,"Jl. Agro, Caturtunggal, Depok, Karang Gayam, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Ada,Menengah,on_street_parking,"Chinese,Jepang,Indonesia,Asia,Fusion",Hot Plate,"Restoran kasual,Quick Bites",Dine-in/Takeaway,4.1,294,AF1QipOWw8jwCy6f0M3uFxMtiP1jinmuH2GN7jzEeV7m=s483-k-no,halal Ada Menengah on_street_parking
303,-7.7453905,110.3890521,Hot plate seafood jakal,"Depok, Kentungan, Condongcatur, Depok Sub-District, Sleman ",halal,Ada,Menengah,on_street_parking,"Chinese,Indonesia,Asia,Fusion","Seafood,Hot Plate",Quick Bites,Dine-in/Takeaway,3.9,17,AF1QipMkGMpJ86_f7u07u7km53rfRWZs-db9CpEGd61L=s563-k-no,halal Ada Menengah on_street_parking
304,-7.855892,110.4095841,Hot Plate Corner,"Ponegaran, Ponogaram, Jambidan, Kec. Banguntapan, Bantul",halal,Ada,Murah,on_street_parking,"Chinese,Jepang,Indonesia,Asia,Fusion",Hot Plate,"Restoran kasual,Quick Bites",Dine-in/Takeaway,4.1,24,AF1QipPl9VA1gIQFnBfTqRf-F96aSXCfpnNm8NFgd-qS=s563-k-no,halal Ada Murah on_street_parking
305,-7.7828133,110.3793467,Plate - O Galeria,"Jalan Urip Sumoharjo No.3 Klitren, Terban, Kec. Gondokusuman, Kota Yogyakarta",halal,Ada,Menengah,on_street_parking,"Chinese,Indonesia,Asia,Fusion",Hot Plate,"Restoran kasual,Quick Bites",Dine-in/Takeaway,4.3,1158,AF1QipPQDrmkIVb37JopPeSb4ncU-HLJR5H89S25fqga=s635-k-no,halal Ada Menengah on_street_parking
306,-7.8815947,110.3416305,Flame Hotplate Cafe,"Jl. Pramuka, Area Sawah, Trirenggo, Kec. Bantul, Bantul",halal,Tidak,Murah,on_street_parking,"Indonesia,Asia,Fusion",Hot Plate,"Kafe,Restoran kasual",Dine-in/Takeaway,4.1,245,AF1QipNVyhLxneFcxU23J_q1SCcPHHRudWJT2R2WZh30=s508-k-no,halal Tidak Murah on_street_parking
307,-7.798882099999999,110.3523524,Hotplate Cokro,"Jl. HOS Cokroaminoto No.18, Pakuncen, Wirobrajan, Kota Yogyakarta",halal,Ada,Mahal,on_street_parking,"Chinese,Indonesia,Asia,Fusion",Hot Plate,"Restoran kasual,Quick Bites",Dine-in/Takeaway,4.4,152,AF1QipPjvwvrYsYWsCLnwbiKSy54KIMCyPz1sa7QWfJs=s563-k-no,halal Ada Mahal on_street_parking
308,-7.7756523,110.4159702,Mc'B (Bukan Babi Biasa),"Ruko Babarsari BBC Plaza, Jalan Babarsari No.5, Caturtunggal, Depok, Tambak Bayan, Caturtunggal, Kec. Depok, Kabupaten Sleman",non_halal,Ada,Menengah,on_street_parking,"Eropa,Indonesia,Western,Fusion","Pork,Burger,Hot Plate",Quick Bites,Dine-in/Takeaway,4.6,193,AF1QipONOWhUlIBkEGGbcVSwbqpYEMIAIrh-2uAYprga=s644-k-no,non_halal Ada Menengah on_street_parking
309,-7.771999900000001,110.40884479999998,Taigersprung Dimsum,"Ruko Plaza Seturan blok B01, Seturan Raya, Kledokan, Caturtunggal, Depok Sub-District, Sleman ",halal,Ada,Menengah,off_street_parking,"Chinese,Indonesia,Asia,Fusion",Dimsum,"Restoran kasual,Quick Bites",Dine-in/Takeaway,4.6,673,AF1QipNZBEBATp1KEHANRjGl4NxJegSHa0yx7rUDf2oL=s601-k-no,halal Ada Menengah off_street_parking
310,-7.7620297,110.39760430000001,Dimsum Queens,"Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman",halal,Tidak,Murah,on_street_parking,"Chinese,Indonesia,Asia,Fusion",Dimsum,"Quick Bites,Street Food",Cuma Takeaway,2.0,2,AF1QipPXBs1DIc_VlqX6_L9mkR0mSlgO1aQJYeX3giN2=s508-k-no,halal Tidak Murah on_street_parking
311,-7.755147099999999,110.37933799999999,Dimsum Mbledos,"Jl. Pandega Marta No.29, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Ada,Menengah,off_street_parking,"Chinese,Indonesia,Asia,Fusion",Dimsum,"Restoran kasual,Quick Bites",Dine-in/Takeaway,4.2,382,AF1QipMJqD6NkNPCEiyp74eYJklU3jvwOCV2ch2qPhRN=s483-k-no,halal Ada Menengah off_street_parking
312,-7.767081699999999,110.42491399999999,Dimsum Hauce,"Jl. Nangka III No.156, Sanggrahan, Maguwoharjo, Kec. Depok, Kabupaten Sleman",halal,Tidak,Murah,on_street_parking,"Chinese,Indonesia,Asia,Fusion",Dimsum,"Quick Bites,Street Food",Cuma Takeaway,5.0,1,AF1QipPFLEjsMlWsmxO4bOF0I6mp40WlVOSYCaU3Bomw=s644-k-no,halal Tidak Murah on_street_parking
313,-7.7704568,110.4098242,Dimsum SEWUSIJI 1001 (2),"Jl. Seturan Raya, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Tidak,Murah,on_street_parking,"Chinese,Indonesia,Asia,Fusion",Dimsum,"Quick Bites,Street Food",Dine-in/Takeaway,5.0,2,AF1QipNR9-eRFs00IOnieo9JvBmpvOQfnmEpiqjlQsbt=s645-k-no,halal Tidak Murah on_street_parking
